,,,,,,,,
,,,,,,,,
"配当
学年",曜日,時限,単位,必選区分,科目名,"コース
区分",担当者,教室
3,金,2,2,選択,人間計測法,(d3),篠原　修二,124
3,金,2,2,選択,人間計測法,(d4),篠原　修二,124
3,金,2,2,選択,実験心理・行動科学,(d3),篠原　修二,124
3,金,2,2,選択,実験心理・行動科学,(d4),篠原　修二,124
1,金,3,2,選択,基礎確率論,(RD),藤本　衡,204
3,金,3,2,選択,数理最適化入門,(d1),陳　致中,324
3,金,3,2,選択,数理最適化入門,(d2),陳　致中,324
3,金,3,2,選択,数理最適化入門,(d3),陳　致中,324
2,金,4,2,選択,統計学Ⅰ,(d1),篠原　修二,204
2,金,4,2,選択,統計学Ⅰ,(d1),鳥居　拓馬,204
2,金,4,2,選択,統計学Ⅰ,(d2),篠原　修二,204
2,金,4,2,選択,統計学Ⅰ,(d2),鳥居　拓馬,204
2,金,4,2,選択,統計学Ⅰ,(d3),篠原　修二,204
2,金,4,2,選択,統計学Ⅰ,(d3),鳥居　拓馬,204
1,金,"4,5",3,必修,コンピュータプログラミングⅠ・同演習,(RD),徳田　太郎,"203,124,221,321,207"
1,金,"4,5",3,必修,コンピュータプログラミングⅠ・同演習,(RD),陳　致中,"203,124,221,321,207"
1,金,"4,5",3,必修,コンピュータプログラミングⅠ・同演習,(RD),佐藤　聖也,"203,124,221,321,207"
1,金,"4,5",3,必修,コンピュータプログラミングⅠ・同演習,(RD),小河　誠巳,"203,124,221,321,207"
1,金,"4,5",3,必修,コンピュータプログラミングⅠ・同演習,(RD),橋浦　弘明,"203,124,221,321,207"
1,金,"4,5",3,必修,ＣプログラミングⅠ・同演習,(RD),徳田　太郎,"203,124,221,321,207"
1,金,"4,5",3,必修,ＣプログラミングⅠ・同演習,(RD),陳　致中,"203,124,221,321,207"
1,金,"4,5",3,必修,ＣプログラミングⅠ・同演習,(RD),佐藤　聖也,"203,124,221,321,207"
1,金,"4,5",3,必修,ＣプログラミングⅠ・同演習,(RD),小河　誠巳,"203,124,221,321,207"
1,金,"4,5",3,必修,ＣプログラミングⅠ・同演習,(RD),橋浦　弘明,"203,124,221,321,207"
3,金,5,2,選択,ＣＧプログラミング,(d1),築地　立家,"2111,2112,2113"
3,金,5,2,選択,ＣＧプログラミング,(d1),萩原　健夫,"2111,2112,2113"
3,金,5,2,選択,ＣＧプログラミング,(d3),築地　立家,"2111,2112,2113"
3,金,5,2,選択,ＣＧプログラミング,(d3),萩原　健夫,"2111,2112,2113"
3,金,5,2,選択,ＣＧプログラミング,(d4),築地　立家,"2111,2112,2113"
3,金,5,2,選択,ＣＧプログラミング,(d4),萩原　健夫,"2111,2112,2113"
全,集中,集中,1,選択,情報と職業入門,(全コース専門),川島　祐一,3210
"1,2",集中,集中,1,選択,情報と職業入門,(全コース専門),川島　祐一,3210
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),秋山　康智,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),矢口　博之,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),陳　致中,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),中山　洋,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),藤本　衡,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),徳田　太郎,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),築地　立家,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),柴山　拓郎,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),松浦　昭洋,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),高橋　達二,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),日髙　章理,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),泉　智紀,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),笹川　隆史,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),佐藤　聖也,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),小林　春美,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),勝本　雄一朗,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),小河　誠巳,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),篠原　修二,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),橋本　侑知,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),鳥居　拓馬,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),大場　久恵,
4,土,"1,2,3",3,必修,情報システムデザイン卒業研究Ⅰ,(RDコース専門),神戸　英利,
2,集中,集中,2,選択,情報システムデザインインターンシップＡ,(RDコース専門),秋山　康智,
"2,3,4",集中,集中,2,選択,情報システムデザインインターンシップＡ,(RDコース専門),秋山　康智,
3,集中,集中,2,選択,情報システムデザインインターンシップＣ,(RDコース専門),秋山　康智,
4,集中,集中,2,選択,情報システムデザインインターンシップＥ,(RDコース専門),秋山　康智,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
